"","satisfaction_level","last_evaluation","number_project","average_montly_hours","time_spend_company","Work_accident","left","promotion_last_5years","Department","salary"
"2",0.8,0.86,5,262,6,0,1,0,"sales","medium"
"5",0.37,0.52,2,159,3,0,1,0,"sales","low"
"6",0.41,0.5,2,153,3,0,1,0,"sales","low"
"8",0.92,0.85,5,259,5,0,1,0,"sales","low"
"13",0.84,0.92,4,234,5,0,1,0,"sales","low"
"16",0.38,0.54,2,143,3,0,1,0,"sales","low"
"17",0.45,0.47,2,160,3,0,1,0,"sales","low"
"23",0.09,0.95,6,304,4,0,1,0,"sales","low"
"29",0.41,0.46,2,128,3,0,1,0,"accounting","low"
"33",0.4,0.51,2,145,3,0,1,0,"hr","low"
"34",0.45,0.55,2,140,3,0,1,0,"hr","low"
"37",0.38,0.46,2,137,3,0,1,0,"technical","low"
"41",0.87,0.88,5,269,5,0,1,0,"technical","low"
"45",0.09,0.89,6,276,4,0,1,0,"technical","low"
"46",0.84,0.74,3,182,4,0,1,0,"technical","low"
"47",0.4,0.55,2,147,3,0,1,0,"support","low"
"50",0.43,0.47,2,147,3,0,1,0,"support","low"
"54",0.39,0.54,2,132,3,0,1,0,"support","low"
"56",0.37,0.46,2,140,3,0,1,0,"support","low"
"57",0.11,0.94,7,255,4,0,1,0,"support","low"
"58",0.1,0.81,6,309,4,0,1,0,"technical","low"
"60",0.85,1,4,225,5,0,1,0,"technical","low"
"61",0.85,0.91,5,226,5,0,1,0,"management","medium"
"62",0.11,0.93,7,308,4,0,1,0,"IT","medium"
"65",0.11,0.94,6,286,4,0,1,0,"IT","medium"
"76",0.11,0.79,7,306,4,0,1,0,"product_mng","medium"
"78",0.4,0.54,2,137,3,0,1,0,"marketing","medium"
"86",0.11,0.87,6,305,4,0,1,0,"marketing","low"
"87",0.17,0.84,5,232,3,0,1,0,"sales","low"
"89",0.37,0.57,2,130,3,0,1,0,"sales","low"
"91",0.4,0.5,2,130,3,0,1,0,"sales","low"
"103",0.42,0.46,2,150,3,0,1,0,"sales","medium"
"104",0.09,0.94,7,267,4,0,1,0,"sales","medium"
"107",0.91,1,4,257,5,0,1,0,"accounting","medium"
"112",0.09,0.85,6,289,4,0,1,0,"hr","high"
"115",0.84,1,5,234,5,0,1,0,"technical","medium"
"116",0.37,0.48,2,137,3,0,1,0,"technical","medium"
"117",0.86,0.68,5,263,2,0,1,0,"technical","medium"
"119",0.37,0.57,2,133,3,0,1,0,"technical","low"
"123",0.75,1,4,216,6,0,1,0,"technical","low"
"124",0.11,0.84,6,300,5,1,1,0,"support","low"
"126",0.11,0.92,6,260,4,0,1,0,"support","low"
"132",0.38,0.57,2,140,3,0,1,0,"support","low"
"134",0.44,0.51,2,138,3,0,1,0,"support","low"
"138",0.42,0.48,2,129,3,0,1,0,"management","low"
